Entrez,Term
4326454,GO:0055114
4326457,GO:0006412
4326460,GO:0019509
4326463,GO:0006457
4326444,GO:0006857
4326449,GO:0016125
4326291,GO:0006468
4326293,GO:0006355
4326297,GO:0016458
4326300,GO:0007018
9272545,GO:0016226
4326153,GO:0008299
4326153,GO:0055114
4326161,GO:0006508
4326133,GO:0006355
4326136,GO:0008152
4326137,GO:0006468
4326138,GO:0006099
4326138,GO:0015977
4326140,GO:0006457
4326119,GO:0006810
4326124,GO:0006468
4326125,GO:0006468
4326126,GO:0006468
9269575,GO:0006468
4326102,GO:0006468
4326104,GO:0006468
4326086,GO:0006468
4326087,GO:0006468
4326092,GO:0006468
4326093,GO:0006468
4326099,GO:0006468
4326070,GO:0006468
4326074,GO:0006096
4326074,GO:0008152
4326076,GO:0006659
4326034,GO:0006419
4326034,GO:0043039
9268813,GO:0055114
4326048,GO:0006511
4326048,GO:0007275
4326048,GO:0016567
4326005,GO:0030001
4326010,GO:0055114
4326011,GO:0055114
4325982,GO:0031047
4325983,GO:0055114
4325986,GO:0016226
4325988,GO:0044237
4325991,GO:0005975
4325992,GO:0006355
4325993,GO:0006308
4325994,GO:0006308
4325974,GO:0006812
4325974,GO:0055085
4325976,GO:0005975
4325976,GO:0008152
4325981,GO:0006355
4325792,GO:0006465
4325804,GO:0006810
4325804,GO:0055085
4325687,GO:0006633
4325687,GO:0055114
4325689,GO:0005975
4325690,GO:0005975
4325700,GO:0006468
4325670,GO:0006468
4325676,GO:0006468
4325680,GO:0006468
4325681,GO:0006468
4325684,GO:0006541
4325476,GO:0006508
4325478,GO:0006412
4325479,GO:0006355
4325486,GO:0006508
4325452,GO:0009058
4325454,GO:0006355
4325456,GO:0006810
4325456,GO:0006857
4325457,GO:0006810
4325457,GO:0055085
4325211,GO:0006096
9270751,GO:0006952
4324516,GO:0006629
4324524,GO:0051205
4324493,GO:0008152
4324494,GO:0006468
4324495,GO:0006334
4324498,GO:0006334
4324499,GO:0006468
4324500,GO:0006334
4324502,GO:0006334
4324504,GO:0006334
4324505,GO:0006418
4324079,GO:0006468
4324082,GO:0006355
4324053,GO:0006508
4324058,GO:0006355
4324062,GO:0008152
4324062,GO:0055114
4324068,GO:0017148
4324418,GO:0006355
4327138,GO:0007067
4327145,GO:0006629
4327145,GO:0006665
4325189,GO:0006662
4325189,GO:0045454
4327633,GO:0006468
4327636,GO:0006950
4327640,GO:0006468
4327644,GO:0006810
4327647,GO:0008152
4327647,GO:0046470
4327648,GO:0006979
4327648,GO:0055114
4327122,GO:0006810
4327122,GO:0055085
4327126,GO:0055114
4327127,GO:0055114
4327130,GO:0045454
4326215,GO:0006820
4326218,GO:0008152
4326220,GO:0008152
4326224,GO:0006355
4325347,GO:0006184
4325347,GO:0006886
4325347,GO:0006913
4325347,GO:0007165
4325347,GO:0007264
4325347,GO:0015031
4325353,GO:0006298
4325361,GO:0006810
4325329,GO:2000028
4325338,GO:0055114
4325653,GO:0006418
4325653,GO:0006425
4325653,GO:0043039
4325653,GO:0006412
4325657,GO:0006355
4325658,GO:0006355
4325659,GO:0006355
4325659,GO:0007165
4325661,GO:0006468
4325668,GO:0009690
4325668,GO:0055114
4326766,GO:0006355
4326767,GO:0055114
4326769,GO:0006108
4326769,GO:0055114
4326775,GO:0006355
4326776,GO:0005975
4326782,GO:0006414
4327298,GO:0006355
4327300,GO:0006508
4327301,GO:0006096
4327302,GO:0006468
4327303,GO:0006355
4327305,GO:0006355
4327307,GO:0009058
4327307,GO:0042218
4327311,GO:0006396
4327316,GO:0045454
4327321,GO:0006468
4327323,GO:0006413
4327327,GO:0008152
4327345,GO:0006189
4327068,GO:0006468
4327080,GO:0006260
4327087,GO:0006412
4327088,GO:0008152
4327089,GO:0006468
4327090,GO:0006979
4327090,GO:0055114
4327093,GO:0006468
4327093,GO:0007165
4327094,GO:0006468
9268854,GO:0030036
4325531,GO:0006099
4325531,GO:0015977
4325533,GO:0006506
4325537,GO:0055114
4325538,GO:0003333
4325538,GO:0006810
4325538,GO:0055085
4325562,GO:0055114
4325564,GO:0055114
4325565,GO:0006355
4325568,GO:0055085
4325253,GO:0006629
4325257,GO:0006629
4325258,GO:0006629
4325260,GO:0006629
9270889,GO:0006629
4325263,GO:0006629
4325264,GO:0006629
4325265,GO:0006629
4324585,GO:0009909
4324585,GO:0048573
4324587,GO:0006810
4324587,GO:0055085
4324641,GO:0005975
4324643,GO:0005975
4324645,GO:0006412
4324653,GO:0015743
4326699,GO:0015991
4326703,GO:0006629
4326704,GO:0006629
4326708,GO:0006468
4326710,GO:0006468
4326710,GO:0048544
4326711,GO:0006468
4326711,GO:0048544
4326729,GO:0006355
4326734,GO:0055114
4326739,GO:0015940
4326740,GO:0009269
4326745,GO:0055085
4327178,GO:0008152
4327179,GO:0006468
4327180,GO:0006184
4327180,GO:0006886
4327180,GO:0006913
4327180,GO:0007165
4327180,GO:0007264
4327180,GO:0015031
4327181,GO:0055114
4327182,GO:0055114
4327184,GO:0055114
4327189,GO:0008152
4327189,GO:0055114
4325877,GO:0006886
4325879,GO:0007264
4325879,GO:0006184
4325879,GO:0007165
4325879,GO:0015031
4325890,GO:0006355
4325891,GO:0006468
4325892,GO:0006414
4325894,GO:0006355
4325894,GO:0016070
4324276,GO:0006810
4324276,GO:0006833
4324276,GO:0055085
4324277,GO:0006810
4324279,GO:0006886
4324282,GO:0000105
4324282,GO:0008152
4324282,GO:0055114
4324288,GO:0000079
4324288,GO:0051726
4324289,GO:0006468
4324291,GO:0006355
4327774,GO:0006511
4327774,GO:0007275
4327774,GO:0016567
4327779,GO:0006886
4327783,GO:0045454
4327785,GO:0006355
4327785,GO:0009725
9268236,GO:0000272
9268236,GO:0005975
4326358,GO:0008152
4326360,GO:0055085
4326363,GO:0006355
4326364,GO:0006457
4326365,GO:0006810
4326367,GO:0006468
4327691,GO:0045454
4327697,GO:0019478
4327700,GO:0006412
4327702,GO:0007018
4326755,GO:0006355
4326761,GO:0006468
4327213,GO:0006102
4327213,GO:0055114
4327215,GO:0006260
4327217,GO:0009664
4327104,GO:0006412
4327108,GO:0006468
4327114,GO:0006468
4327115,GO:0006468
4327117,GO:0006606
4327117,GO:0006886
4327707,GO:0006629
4327708,GO:0006886
4327708,GO:0007264
4327713,GO:0006886
4327713,GO:0016192
4327718,GO:0007017
4327720,GO:0006412
4326237,GO:0006468
4326239,GO:0006468
4326240,GO:0008152
9267695,GO:0007018
4325115,GO:0006952
4325120,GO:0006355
4325125,GO:0009058
4325127,GO:0006979
4325127,GO:0055114
4325129,GO:0006979
4325129,GO:0055114
4326204,GO:0006810
4326208,GO:0007264
4326209,GO:0055085
4324375,GO:0009058
4324378,GO:0006139
4324378,GO:0032259
4324386,GO:0055085
4326261,GO:0006265
4326266,GO:0008152
4326273,GO:0006979
4326273,GO:0055114
4325167,GO:0006412
4325167,GO:0006418
4325167,GO:0006424
4325167,GO:0043039
4325168,GO:0006508
4325169,GO:0006464
4325169,GO:0045116
4325176,GO:0006457
4325177,GO:0055114
4325181,GO:0006355
4324441,GO:0006412
4324442,GO:0006099
4324442,GO:0055114
4324258,GO:0006820
4324258,GO:0044070
4324258,GO:0055085
4324261,GO:0000105
4324263,GO:0006096
