Child,Ancestor
GO:0110053,GO:0032956
GO:0015940,GO:0072330
GO:0033554,GO:0051716
GO:0018871,GO:0032787
GO:0006333,GO:0006325
GO:0031326,GO:0009889
GO:0006465,GO:0016485
GO:0072528,GO:0044271
GO:0009247,GO:1901137
GO:0072522,GO:0019438
GO:0009167,GO:0009161
GO:0006418,GO:0006412
GO:0006606,GO:0006886
GO:0042493,GO:0042221
GO:0015980,GO:0055114
GO:0009414,GO:0009415
GO:0009165,GO:0009117
GO:0006637,GO:0035383
GO:0019439,GO:0006725
GO:0048580,GO:2000026
GO:0009101,GO:1901566
GO:0032940,GO:0140352
GO:0009057,GO:0043170
GO:0010558,GO:0009890
GO:0009908,GO:0090567
GO:0009250,GO:0006073
GO:0090304,GO:0043170
GO:0046173,GO:0019751
GO:0000910,GO:0022402
GO:0009628,GO:0050896
GO:0006413,GO:0044237
GO:0008652,GO:1901566
GO:0034030,GO:0033866
GO:0051013,GO:0000226
GO:0051179,GO:0008150
GO:0006778,GO:0033013
GO:0090407,GO:1901576
GO:0009250,GO:0033692
GO:0046949,GO:1901570
GO:0042440,GO:0008152
GO:0006026,GO:1901136
GO:0006766,GO:0044281
GO:0006757,GO:0046031
GO:0006720,GO:0044255
GO:0016051,GO:1901576
GO:0006188,GO:0009168
GO:0006757,GO:0046034
GO:0009112,GO:1901564
GO:0006556,GO:0046500
GO:0006075,GO:0006074
GO:0046348,GO:1901136
GO:0045859,GO:0001932
GO:0009229,GO:0019438
GO:0006740,GO:0055114
GO:0006659,GO:0046474
GO:0006022,GO:1901564
GO:0044262,GO:0005975
GO:0048278,GO:0016192
GO:0003006,GO:0000003
GO:0009725,GO:0010033
GO:0006614,GO:0045047
GO:0016052,GO:0005975
GO:0098655,GO:0006812
GO:0046500,GO:0006790
GO:0072528,GO:0072527
GO:0015711,GO:0006820
GO:0005737,GO:0005622
GO:0044260,GO:0043170
GO:0046390,GO:1901137
GO:0009112,GO:0055086
GO:0006637,GO:0034032
GO:0032268,GO:0031323
GO:0034754,GO:0042445
GO:0006694,GO:0008610
GO:0023052,GO:0008150
GO:0015995,GO:0015994
GO:0006188,GO:0009152
GO:0072657,GO:0034613
GO:0050790,GO:0065009
GO:0031326,GO:0031323
GO:0048573,GO:0009648
GO:0006417,GO:0034248
GO:0010109,GO:0031323
GO:0033866,GO:0033865
GO:0042559,GO:0042558
GO:0046700,GO:0044248
GO:0009073,GO:0019438
GO:0042592,GO:0065008
GO:0019684,GO:0015979
GO:0030832,GO:0032535
GO:0006400,GO:0009451
GO:0044271,GO:0044249
GO:0008652,GO:0046394
GO:0006518,GO:1901564
GO:0048523,GO:0048519
GO:0009233,GO:1901661
GO:0009314,GO:0009628
GO:0036211,GO:0043412
GO:0071267,GO:0043102
GO:0006631,GO:0044255
GO:0006606,GO:0072594
GO:0010558,GO:0010605
GO:0006952,GO:0006950
GO:0042158,GO:0042157
GO:0009066,GO:1901605
GO:0006334,GO:0065004
GO:0015986,GO:0015985
GO:0035384,GO:0035383
GO:0044282,GO:0009056
GO:0006821,GO:0015698
GO:0036211,GO:0019538
GO:0043038,GO:0006520
GO:0019478,GO:1901606
GO:0009415,GO:1901700
GO:0000272,GO:0005976
GO:0006367,GO:0006366
GO:0044092,GO:0065009
GO:0046034,GO:0008152
GO:0044238,GO:0008152
GO:0007165,GO:0050794
GO:0019684,GO:0006091
GO:0033865,GO:0006753
GO:0006259,GO:0090304
GO:0006099,GO:0009060
GO:0006310,GO:0006259
GO:0019219,GO:0080090
GO:0006334,GO:0034728
GO:0044042,GO:0005976
GO:0098655,GO:0034220
GO:1901617,GO:1901576
GO:0019637,GO:0006793
GO:0046942,GO:0015711
GO:0043413,GO:0043412
GO:0044249,GO:0044237
GO:0009101,GO:1901137
GO:0015985,GO:1902600
GO:2000026,GO:0051239
GO:0003333,GO:1905039
GO:0006412,GO:0043043
GO:0015939,GO:0032787
GO:0048573,GO:0022414
GO:0034312,GO:0046173
GO:0006508,GO:0019538
GO:0034030,GO:0033875
GO:0006820,GO:0006811
GO:0042548,GO:0043467
GO:0019478,GO:0046416
GO:0006497,GO:0042158
GO:0034654,GO:1901362
GO:0006613,GO:0006612
GO:0009152,GO:0009150
GO:0044282,GO:0044281
GO:0006139,GO:0034641
GO:0016301,GO:0016772
GO:0006754,GO:0009152
GO:0009875,GO:0007154
GO:1901575,GO:0009056
GO:0006366,GO:0006351
GO:0140029,GO:0006887
GO:0006506,GO:0006661
GO:0042181,GO:0044283
GO:0031324,GO:0031323
GO:0046395,GO:0016054
GO:0016569,GO:0006325
GO:0006644,GO:0044255
GO:0046351,GO:0009312
GO:0006221,GO:0006220
