Term,Name
GO:0032956,regulation of actin cytoskeleton organization
GO:0006825,copper ion transport
GO:0006729,tetrahydrobiopterin biosynthetic process
GO:0007015,actin filament organization
GO:0019219,regulation of nucleobase-containing compound metabolic process
GO:0009117,nucleotide metabolic process
GO:0034654,nucleobase-containing compound biosynthetic process
GO:0009765,"photosynthesis, light harvesting"
GO:0016070,RNA metabolic process
GO:0006298,mismatch repair
GO:0009260,ribonucleotide biosynthetic process
GO:0010467,gene expression
GO:0006520,cellular amino acid metabolic process
GO:0019438,aromatic compound biosynthetic process
GO:0042157,lipoprotein metabolic process
GO:1901570,fatty acid derivative biosynthetic process
GO:0098660,inorganic ion transmembrane transport
GO:0009168,purine ribonucleoside monophosphate biosynthetic process
GO:0051641,cellular localization
GO:0034637,cellular carbohydrate biosynthetic process
GO:0061024,membrane organization
GO:0009141,nucleoside triphosphate metabolic process
GO:0015936,coenzyme A metabolic process
GO:0006266,DNA ligation
GO:0016116,carotenoid metabolic process
GO:0006464,cellular protein modification process
GO:0051301,cell division
GO:0043102,amino acid salvage
GO:1901663,quinone biosynthetic process
GO:0009908,flower development
GO:0006897,endocytosis
GO:0009314,response to radiation
GO:1905039,carboxylic acid transmembrane transport
GO:0051726,regulation of cell cycle
GO:0097472,cyclin-dependent protein kinase activity
GO:1901605,alpha-amino acid metabolic process
GO:0006465,signal peptide processing
GO:0031497,chromatin assembly
GO:0000041,transition metal ion transport
GO:0097435,supramolecular fiber organization
GO:0009156,ribonucleoside monophosphate biosynthetic process
GO:0006835,dicarboxylic acid transport
GO:0009889,regulation of biosynthetic process
GO:0006661,phosphatidylinositol biosynthetic process
GO:0046112,nucleobase biosynthetic process
GO:0006305,DNA alkylation
GO:0042364,water-soluble vitamin biosynthetic process
GO:0009067,aspartate family amino acid biosynthetic process
GO:0003700,DNA-binding transcription factor activity
GO:0032774,RNA biosynthetic process
GO:0034613,cellular protein localization
GO:0046148,pigment biosynthetic process
GO:0051604,protein maturation
GO:0051338,regulation of transferase activity
GO:0061458,reproductive system development
GO:0051246,regulation of protein metabolic process
GO:2001141,regulation of RNA biosynthetic process
GO:0006757,ATP generation from ADP
GO:0072521,purine-containing compound metabolic process
